model,model_name,cases,errors,accuracy,latency_mean,latency_p50,input_tokens_mean,output_tokens_mean,cost_usd_total,price_verified_at,parse_rate,qualitative_notes
propietario_grande,gpt-5.5,10,0,1.0,0.9682418498967309,0.9419896460021846,56.1,23.1,0.009734999999999999,2026-09-19,1.0,"JSON válido en los 10 casos, compacto y sin espacio tras los dos puntos. De ~23 tokens de salida, 9-10 son de razonamiento y se facturan a precio de salida. Es un modelo de razonamiento usado en lugar de claude-opus-4-8 de la tabla del curso."
propietario_economico,gpt-4o-mini,10,0,1.0,0.6989055458048824,0.7012515205133241,57.1,6.0,0.00012164999999999999,2026-08-26,1.0,"JSON válido en los 10 casos, sin tokens de razonamiento y con la salida más corta (6 tokens). Fue el más barato de los modelos de pago."
open_weight_pequeno,qwen3:1.7b,10,0,1.0,0.14660145390080287,0.13222497902461328,66.3,7.0,0.0,"n/a (local, sin precio por token)",1.0,JSON válido en los 10 casos con el razonamiento desactivado (think: false). Corre en local: la latencia no incluye red y el costo 0 no cuenta el hardware. La primera llamada del modelo tardó 3.55 s por la carga en memoria; esa fila no entra en la tabla porque se usa la última fila por caso.
